algorithm,input_type,n,time_ns,max_recursion_depth,recursive_calls
MergeSort,random,100,7400,4,15
QuickSort,random,100,13500,4,20
MergeSort,sorted,100,1800,4,15
QuickSort,sorted,100,11700,4,22
MergeSort,reverse,100,4700,4,15
QuickSort,reverse,100,9500,4,20
MergeSort,duplicates,100,7500,4,15
QuickSort,duplicates,100,6300,2,3
MergeSort,random,1000,127500,7,127
QuickSort,random,1000,182500,6,199
MergeSort,sorted,1000,9900,7,127
QuickSort,sorted,1000,114500,6,202
MergeSort,reverse,1000,46300,7,127
QuickSort,reverse,1000,102200,6,191
MergeSort,duplicates,1000,72200,7,127
QuickSort,duplicates,1000,27500,2,3
MergeSort,random,10000,1414700,11,2047
QuickSort,random,10000,1376600,8,2016
MergeSort,sorted,10000,62100,11,2047
QuickSort,sorted,10000,579600,8,2015
MergeSort,reverse,10000,385800,11,2047
QuickSort,reverse,10000,533600,9,2001
MergeSort,duplicates,10000,523500,11,2047
QuickSort,duplicates,10000,173600,3,4
MergeSort,random,50000,5442500,13,8191
QuickSort,random,50000,7610800,10,10005
MergeSort,sorted,50000,128600,13,8191
QuickSort,sorted,50000,2844400,9,9967
MergeSort,reverse,50000,1165900,13,8191
QuickSort,reverse,50000,2860000,10,10015
MergeSort,duplicates,50000,2915800,13,8191
QuickSort,duplicates,50000,875800,2,3
DeterministicSelect,random,100,1300,3,3
DeterministicSelect,duplicates,100,2000,4,11
DeterministicSelect,random,1000,37300,9,84
DeterministicSelect,duplicates,1000,22500,6,15
DeterministicSelect,random,10000,778800,13,403
DeterministicSelect,duplicates,10000,239600,7,9
DeterministicSelect,random,50000,2344600,15,1098
DeterministicSelect,duplicates,50000,1108900,7,7
ClosestPair,random_points,100,91500,7,71
ClosestPair,random_points,1000,989500,10,975
ClosestPair,random_points,10000,10373500,13,8191
ClosestPair,random_points,30000,33693500,15,27231
